parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,runtime,nodes_explored,pruned_budget,pruned_bound,pruning_rate,best_makespan,status
jobs,4.0,0,40000,4,4,2.0,0.04700160026550293,29,0,0,0.0,78.0,success
jobs,4.0,1,40001,4,4,2.0,0.18200063705444336,119,0,0,0.0,72.0,success
jobs,4.0,2,40002,4,4,2.0,0.19385862350463867,250,0,0,0.0,52.0,success
jobs,4.0,3,40003,4,4,2.0,0.24150943756103516,261,0,0,0.0,36.0,success
jobs,4.0,4,40004,4,4,2.0,0.11500167846679688,134,0,0,0.0,68.0,success
jobs,6,0,60000,6,4,2.0,0.07995271682739258,109,0,0,0.0,160.0,success
jobs,6,1,60001,6,4,2.0,0.09100055694580078,961,0,0,0.0,95.0,success
jobs,6,2,60002,6,4,2.0,3.151592493057251,3094,0,0,0.0,132.0,success
jobs,6,3,60003,6,4,2.0,0.020122289657592773,322,0,0,0.0,95.0,success
jobs,6,4,60004,6,4,2.0,0.15000057220458984,3199,0,0,0.0,105.0,success
jobs,8,0,80000,8,4,2.0,0.6416134834289551,13053,0,0,0.0,155.0,success
jobs,8,1,80001,8,4,2.0,0.02100086212158203,297,0,0,0.0,156.0,success
jobs,8,2,80002,8,4,2.0,0.09748053550720215,2178,0,0,0.0,160.0,success
jobs,8,3,80003,8,4,2.0,0.1254410743713379,2632,0,0,0.0,144.0,success
jobs,8,4,80004,8,4,2.0,6.763418197631836,12499,0,0,0.0,133.0,success
jobs,10,0,100000,10,4,2.0,0.3594958782196045,8350,0,0,0.0,220.0,success
jobs,10,1,100001,10,4,2.0,0.10000157356262207,1041,0,0,0.0,396.0,success
jobs,10,2,100002,10,4,2.0,0.1430039405822754,3132,0,0,0.0,336.0,success
jobs,10,3,100003,10,4,2.0,2.5545506477355957,2141,0,0,0.0,240.0,success
jobs,10,4,100004,10,4,2.0,0.4540226459503174,8252,0,0,0.0,180.0,success
jobs,12,0,120000,12,4,2.0,17.59725308418274,32114,0,0,0.0,270.0,success
jobs,12,1,120001,12,4,2.0,45.585535764694214,500025,0,0,0.0,190.0,success
jobs,12,2,120002,12,4,2.0,278.8899915218353,500000,0,0,0.0,168.0,success
jobs,12,3,120003,12,4,2.0,0.579176664352417,8702,0,0,0.0,340.0,success
jobs,12,4,120004,12,4,2.0,2.2653393745422363,37903,0,0,0.0,245.0,success
jobs,14,0,140000,14,4,2.0,3.599041700363159,25095,0,0,0.0,300.0,success
jobs,14,1,140001,14,4,2.0,0.13108181953430176,2171,0,0,0.0,660.0,success
jobs,14,2,140002,14,4,2.0,0.39450502395629883,8605,0,0,0.0,480.0,success
jobs,14,3,140003,14,4,2.0,30.079952478408813,500030,0,0,0.0,279.0,success
jobs,14,4,140004,14,4,2.0,0.05023002624511719,751,0,0,0.0,544.0,success
jobs,16,0,160000,16,4,2.0,1.2604682445526123,21918,0,0,0.0,527.0,success
jobs,16,1,160001,16,4,2.0,210.79144477844238,500044,0,0,0.0,323.0,success
jobs,16,2,160002,16,4,2.0,0.11000180244445801,2095,0,0,0.0,646.0,success
jobs,16,3,160003,16,4,2.0,44.673659324645996,500034,0,0,0.0,378.0,success
jobs,16,4,160004,16,4,2.0,32.332223415374756,500021,0,0,0.0,288.0,success
jobs,18,0,180000,18,4,2.0,21.838934183120728,338465,0,0,0.0,420.0,success
jobs,18,1,180001,18,4,2.0,3.5424020290374756,57119,0,0,0.0,475.0,success
jobs,18,2,180002,18,4,2.0,304.9604287147522,500004,0,0,0.0,400.0,success
jobs,18,3,180003,18,4,2.0,1.3077592849731445,24658,0,0,0.0,660.0,success
jobs,18,4,180004,18,4,2.0,0.2245936393737793,4195,0,0,0.0,656.0,success
