parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
jobs,4.0,0,40000,4,4,2.0,0.13302850723266602,29,27,0.9310344827586207,78.0,success,0.01000070571899414,29,27,0.9310344827586207,78.0,success,True,0.0,13.301911982072188
jobs,4.0,1,40001,4,4,2.0,0.1809995174407959,119,54,0.453781512605042,72.0,success,0.12799763679504395,87,35,0.40229885057471265,72.0,success,True,26.890756302521012,1.4140848376022843
jobs,4.0,2,40002,4,4,2.0,0.17400121688842773,250,110,0.44,52.0,success,0.07699918746948242,88,18,0.20454545454545456,52.0,success,True,64.8,2.2597799094619115
jobs,4.0,3,40003,4,4,2.0,0.2105097770690918,261,63,0.2413793103448276,36.0,success,0.19801831245422363,223,42,0.18834080717488788,36.0,success,True,14.559386973180077,1.063082370817375
jobs,4.0,4,40004,4,4,2.0,0.10827851295471191,134,48,0.3582089552238806,68.0,success,0.0859994888305664,98,30,0.30612244897959184,68.0,success,True,26.865671641791046,1.2590599598567263
jobs,6,0,60000,6,4,2.0,0.0749976634979248,109,68,0.6238532110091743,160.0,success,0.07510232925415039,99,59,0.5959595959595959,160.0,success,True,9.174311926605505,0.9986063580548695
jobs,6,1,60001,6,4,2.0,0.08500123023986816,961,827,0.8605619146722164,95.0,success,0.015999794006347656,57,50,0.8771929824561403,95.0,success,True,94.06867845993756,5.312645288192168
jobs,6,2,60002,6,4,2.0,3.2753751277923584,3094,2827,0.9137039431157078,132.0,success,0.04500126838684082,603,572,0.9485903814262023,132.0,success,True,80.51066580478346,72.78406243211884
jobs,6,3,60003,6,4,2.0,0.020998716354370117,322,291,0.9037267080745341,95.0,success,0.009002208709716797,15,15,1.0,95.0,success,True,95.34161490683229,2.332618253085439
jobs,6,4,60004,6,4,2.0,0.15099883079528809,3199,2997,0.9368552672710222,105.0,success,0.07600116729736328,1244,1177,0.9461414790996785,105.0,success,True,61.112847764926535,1.9867962054383697
jobs,8,0,80000,8,4,2.0,0.6548318862915039,13053,11682,0.8949666743277408,155.0,success,0.0670325756072998,1141,1054,0.9237510955302366,155.0,success,True,91.25871447176894,9.768860592911384
jobs,8,1,80001,8,4,2.0,0.026999711990356445,297,286,0.9629629629629629,156.0,success,0.01800060272216797,19,19,1.0,156.0,success,True,93.60269360269359,1.499933774834437
jobs,8,2,80002,8,4,2.0,0.09799814224243164,2178,2074,0.9522497704315886,160.0,success,0.012999773025512695,23,23,1.0,160.0,success,True,98.94398530762167,7.5384502521779
jobs,8,3,80003,8,4,2.0,0.11823368072509766,2632,2451,0.9312310030395137,144.0,success,0.010617733001708984,18,18,1.0,144.0,success,True,99.3161094224924,11.135491983652939
jobs,8,4,80004,8,4,2.0,6.767550230026245,12499,10120,0.8096647731818546,133.0,success,0.016002655029296875,68,66,0.9705882352941176,133.0,success,True,99.45595647651812,422.90171334922525
jobs,10,0,100000,10,4,2.0,0.36902379989624023,8350,7078,0.8476646706586827,220.0,success,0.02063584327697754,17,17,1.0,220.0,success,True,99.79640718562874,17.882661490647347
jobs,10,1,100001,10,4,2.0,0.10102176666259766,1041,983,0.9442843419788665,396.0,success,0.028453826904296875,15,15,1.0,396.0,success,True,98.55907780979827,3.5503753854404074
jobs,10,2,100002,10,4,2.0,0.14618897438049316,3132,3073,0.981162196679438,336.0,success,0.04151487350463867,323,318,0.9845201238390093,336.0,success,True,89.68710089399745,3.521363839977947
jobs,10,3,100003,10,4,2.0,2.6122889518737793,2141,1619,0.7561886968706212,240.0,success,0.028001070022583008,18,18,1.0,240.0,success,True,99.15927136851938,93.29246881519009
jobs,10,4,100004,10,4,2.0,0.45359063148498535,8252,7845,0.950678623364033,180.0,success,0.06600117683410645,543,514,0.9465930018416207,180.0,success,True,93.41977702375182,6.872462783884636
jobs,12,0,120000,12,4,2.0,17.9638614654541,32114,26819,0.8351186398455502,270.0,success,5.2716310024261475,2152,1148,0.533457249070632,270.0,success,True,93.29887276577193,3.40764773884717
jobs,12,1,120001,12,4,2.0,48.506866455078125,500025,414899,0.8297565121743913,190.0,success,3.0017952919006348,2248,1340,0.5960854092526691,190.0,success,True,99.55042247887606,16.159285273702068
jobs,12,2,120002,12,4,2.0,266.0894019603729,500000,349258,0.698516,168.0,success,642.298172712326,500008,332307,0.6646033663461385,168.0,success,True,-0.0016000000000016001,0.4142770651778728
jobs,12,3,120003,12,4,2.0,0.5175778865814209,8702,8468,0.9731096299701218,340.0,success,0.04199934005737305,16,16,1.0,340.0,success,True,99.81613422201792,12.323476651642276
jobs,12,4,120004,12,4,2.0,1.9037892818450928,37903,36452,0.9617180698097776,245.0,success,0.0449981689453125,229,222,0.9694323144104804,245.0,success,True,99.3958261879007,42.30815000847745
